737-700|52|66
737-800|64|90
737-MAX 9|62|117
747-400|87|260
747-8|120|244
757-200|61|108
767-300-ER|76|138
777-200|74|202
787-10|87|198
A319|50|78
A320|54|96
A340|84|213
A380|90|435
CRJ-200|4|46
CRJ-550|10|40
CRJ-700|6|64
EMB-120|0|30
EMB-170|6|64
EMB-175|12|64
ERJ-135|0|37
ERJ-145|0|50
ERJ-175|12|64
Q200|0|37
Q300|0|50
Q400|7|64
